"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"67","1969","5","Karnataka","Mysore","0.43","0.49","7.18","84.93","94.93","69.2","135.59","130.54","59.1","163.92","67.69","31.77"
"67","1970","5","Karnataka","Mysore","31.85","24.89","20.77","17.96","15.94","14.64","56.44","56.26","47.1","149.44","108.57","57.46"
"67","1971","5","Karnataka","Mysore","39.02","30.08","24.62","20.91","21.44","22.77","48.5","67.35","72.98","83.63","56.59","37.91"
"67","1972","5","Karnataka","Mysore","27.79","22.49","19.07","16.62","53.75","64.3","74.81","66.1","65.37","108.64","72.05","53.24"
"67","1973","5","Karnataka","Mysore","35.74","27.71","22.89","19.59","17.16","28.08","72.29","71.29","52.63","64.29","47.05","32.16"
"67","1974","5","Karnataka","Mysore","0.0","0.0","1.61","66.88","92.22","74.14","176.63","89.79","152.07","111.92","14.35","0.42"
"67","1975","5","Karnataka","Mysore","1.75","3.23","32.23","43.86","286.98","82.22","328.31","117.77","139.66","144.6","59.43","1.11"
"67","1976","5","Karnataka","Mysore","0.0","0.0","1.61","125.94","47.7","36.29","113.55","94.13","54.19","97.19","99.14","2.81"
"67","1977","5","Karnataka","Mysore","0.0","3.34","19.4","108.34","136.87","155.23","94.78","89.81","104.9","274.9","114.73","0.05"
"67","1978","5","Karnataka","Mysore","4.17","8.87","3.55","45.77","166.54","117.84","238.09","83.44","74.57","112.31","124.69","30.87"
"67","1979","5","Karnataka","Mysore","4.17","25.79","15.85","78.14","75.02","143.48","130.96","123.42","123.87","138.78","127.53","2.75"
"67","1980","5","Karnataka","Mysore","0.03","0.46","6.92","73.56","321.74","114.03","138.42","71.2","108.57","130.15","65.97","4.46"
"67","1981","5","Karnataka","Mysore","2.6","0.17","41.27","48.28","144.15","55.43","228.78","117.0","142.58","140.59","37.33","15.1"
"67","1982","5","Karnataka","Mysore","0.0","0.0","2.02","36.02","83.93","70.0","120.74","104.06","45.09","105.4","50.48","1.81"
"67","1983","5","Karnataka","Mysore","0.08","0.0","0.08","4.26","85.73","129.14","267.21","111.08","100.51","121.66","24.85","38.38"
"67","1984","5","Karnataka","Mysore","2.35","18.27","48.19","101.9","76.74","74.22","175.19","61.65","107.44","165.13","25.7","21.6"
"67","1985","5","Karnataka","Mysore","18.12","5.04","22.88","35.78","178.81","51.31","160.59","85.55","55.95","130.39","51.49","7.47"
"67","1986","5","Karnataka","Mysore","11.99","7.32","1.86","23.85","285.86","71.52","129.5","72.1","160.25","96.48","107.66","5.26"
"67","1987","5","Karnataka","Mysore","0.36","0.09","11.61","52.6","79.06","75.78","108.67","102.02","60.59","219.61","24.63","40.21"
"67","1988","5","Karnataka","Mysore","0.0","0.07","6.85","145.22","107.69","61.01","298.17","149.21","164.92","31.92","31.24","11.25"
"67","1989","5","Karnataka","Mysore","0.35","0.0","10.9","48.99","68.88","65.62","244.95","60.34","108.93","205.8","20.28","2.99"
"67","1990","5","Karnataka","Mysore","4.35","0.36","3.98","21.99","129.53","49.39","176.47","68.05","49.19","147.87","48.55","4.3"
"67","1991","5","Karnataka","Mysore","0.9","2.73","2.76","90.16","293.68","117.66","203.86","106.93","50.6","214.78","83.86","0.78"
"67","1992","5","Karnataka","Mysore","0.31","0.0","0.0","49.99","83.54","100.08","221.37","98.02","83.23","174.98","78.27","2.11"
"67","1993","5","Karnataka","Mysore","0.0","0.24","11.1","40.76","84.38","94.44","192.96","76.03","54.0","211.06","58.7","31.64"
"67","1994","5","Karnataka","Mysore","0.11","1.83","13.48","111.24","288.73","235.1","117.11","78.63","55.34","247.88","37.58","5.37"
"67","1995","5","Karnataka","Mysore","9.44","0.16","9.29","67.42","99.07","87.21","215.52","142.31","87.87","133.02","23.03","0.08"
"67","1996","5","Karnataka","Mysore","0.58","0.86","15.27","82.28","83.5","127.95","190.72","127.13","94.77","139.17","8.26","25.77"
"67","1997","5","Karnataka","Mysore","3.13","0.0","16.59","60.03","54.14","232.41","119.06","123.99","93.38","252.01","111.67","23.73"
"67","1998","5","Karnataka","Mysore","0.33","8.1","3.77","61.66","181.51","35.65","302.31","168.37","133.34","226.15","44.39","33.55"
"67","1999","5","Karnataka","Mysore","0.1","8.22","9.12","88.44","150.11","68.35","188.96","61.3","49.17","253.6","40.63","6.19"
"67","2000","5","Karnataka","Mysore","0.98","6.7","0.27","89.05","75.81","63.96","159.01","159.65","100.16","204.35","44.66","26.46"
"67","2001","5","Karnataka","Mysore","11.17","4.77","0.83","184.31","53.36","37.76","202.81","78.12","83.44","175.71","30.5","4.7"
"67","2002","5","Karnataka","Mysore","0.34","0.16","2.25","18.95","139.28","101.4","93.86","70.33","45.66","287.04","47.43","1.78"
"67","2003","5","Karnataka","Mysore","0.04","3.78","3.33","142.53","12.82","77.44","184.77","78.84","49.01","186.32","34.37","0.97"
"67","2004","5","Karnataka","Mysore","3.98","0.92","2.03","80.7","170.43","66.7","261.33","79.13","94.75","183.51","38.72","0.41"
"67","2005","5","Karnataka","Mysore","8.44","2.87","4.76","90.61","88.57","79.31","233.42","97.71","107.79","159.8","62.62","9.77"
"67","2006","5","Karnataka","Mysore","0.85","0.0","46.92","38.03","123.67","104.54","156.09","86.13","155.23","166.36","40.35","0.12"
